finding_id,topic,state,disposition
PF-001,Execution axes could be mistaken for ecological bounds,CONTROL_ACCEPTED,ASSUMED_FOR_EXECUTION labels required everywhere
PF-002,Organic horizon could be mistaken for modeled surface residue,CONTROL_ACCEPTED,Harvard results restricted to descriptive source-native diagnostics
PF-003,Pooled nonfoliar material could hide source invention,CONTROL_ACCEPTED,Pooled label retained and component allocation prohibited
PF-004,Synthetic execution could bypass runtime path,CONTROL_ACCEPTED,DirectDayFrame phases required and runner projection evidence separated
PF-005,Terminal stock could falsely identify source and decay,CONTROL_ACCEPTED,Analytic five-pair ridge separated from daily recovery
PF-006,Zero direct rate could be mistaken for native forest projection,CONTROL_ACCEPTED,K000 relabeled and native fallback proven separately
PF-007,Daily recurrence and chronology were underspecified,CONTROL_ACCEPTED,Complete typed recurrence and source-before-decay chronology frozen
PF-008,Package success could preassign stage readiness,CONTROL_ACCEPTED,Package completion and three-axis stage statuses separated
PF-009,Finite horizon could be called equilibrium,CONTROL_ACCEPTED,Year-20 endpoint named terminal stock only
PF-010,Failure cases were not executable,CONTROL_ACCEPTED,Exact failure-and-boundary vector table frozen
PF-011,CAL04B uncertainty could be ignored,CONTROL_ACCEPTED,Native-source lane inventories accepted membership and returns NOT_ASSESSED if traces cannot be authenticated
PF-012,Missing physics could be pre-decided,CONTROL_ACCEPTED,Successor rule separates observed need authority and implementation
