lane_id,stratum,climate,cell_id,cohort,successor,retained_direction,phases,observation_operator,operator_units,primary_owner,competing_explanations,discriminating_evidence,current_data_role,future_promotion_role
harvard_hardwood,hardwood,humid_new_england_hardwood,seasonal_densification_trajectory,density_structure,EB-04V,density_shape_over_beta,accumulation|dry_settling|wet_compaction|ablation,"phase-conditioned KGE(r,beta,gamma) of bulk density",density kg m^-3; ratios dimensionless,openWEPP snow density and persistent-layer evolution,fresh-snow density|destructive metamorphism|local overburden|liquid-water compaction|layer merge/projection|SWE/depth forcing alias,"KGE components and signed residuals by phase, conditioned on load, layer temperature, liquid water, snow age, and process-specific density tendency",DIAGNOSTIC_ONLY,INDEPENDENT_VALIDATION_REQUIRED
marcell_conifer,conifer,laurentian_continental_conifer,seasonal_densification_trajectory,density_structure,EB-04V,density_shape_over_beta,accumulation|dry_settling|wet_compaction|ablation,"phase-conditioned KGE(r,beta,gamma) of bulk density",density kg m^-3; ratios dimensionless,openWEPP snow density and persistent-layer evolution,fresh-snow density|destructive metamorphism|local overburden|liquid-water compaction|layer merge/projection|SWE/depth forcing alias,"KGE components and signed residuals by phase, conditioned on load, layer temperature, liquid water, snow age, and process-specific density tendency",DIAGNOSTIC_ONLY,INDEPENDENT_VALIDATION_REQUIRED
marcell_deciduous,deciduous,laurentian_continental_deciduous,seasonal_densification_trajectory,density_structure,EB-04V,density_shape_over_beta,accumulation|dry_settling|wet_compaction|ablation,"phase-conditioned KGE(r,beta,gamma) of bulk density",density kg m^-3; ratios dimensionless,openWEPP snow density and persistent-layer evolution,fresh-snow density|destructive metamorphism|local overburden|liquid-water compaction|layer merge/projection|SWE/depth forcing alias,"KGE components and signed residuals by phase, conditioned on load, layer temperature, liquid water, snow age, and process-specific density tendency",DIAGNOSTIC_ONLY,INDEPENDENT_VALIDATION_REQUIRED
marcell_open,open,laurentian_continental_open,seasonal_densification_trajectory,density_structure,EB-04V,density_shape_over_beta,accumulation|dry_settling|wet_compaction|ablation,"phase-conditioned KGE(r,beta,gamma) of bulk density",density kg m^-3; ratios dimensionless,openWEPP snow density and persistent-layer evolution,fresh-snow density|destructive metamorphism|local overburden|liquid-water compaction|layer merge/projection|SWE/depth forcing alias,"KGE components and signed residuals by phase, conditioned on load, layer temperature, liquid water, snow age, and process-specific density tendency",DIAGNOSTIC_ONLY,INDEPENDENT_VALIDATION_REQUIRED
snotel_css_lab_ca,open,sierra_maritime,seasonal_densification_trajectory,density_structure,EB-04V,density_shape_under_beta,accumulation|dry_settling|wet_compaction|ablation,"phase-conditioned KGE(r,beta,gamma) of bulk density",density kg m^-3; ratios dimensionless,openWEPP snow density and persistent-layer evolution,fresh-snow density|destructive metamorphism|local overburden|liquid-water compaction|layer merge/projection|SWE/depth forcing alias,"KGE components and signed residuals by phase, conditioned on load, layer temperature, liquid water, snow age, and process-specific density tendency",DIAGNOSTIC_ONLY,INDEPENDENT_VALIDATION_REQUIRED
snotel_mica_creek_st_joe_id,open,northern_rockies_intermountain,seasonal_densification_trajectory,density_structure,EB-04V,density_shape_under_beta,accumulation|dry_settling|wet_compaction|ablation,"phase-conditioned KGE(r,beta,gamma) of bulk density",density kg m^-3; ratios dimensionless,openWEPP snow density and persistent-layer evolution,fresh-snow density|destructive metamorphism|local overburden|liquid-water compaction|layer merge/projection|SWE/depth forcing alias,"KGE components and signed residuals by phase, conditioned on load, layer temperature, liquid water, snow age, and process-specific density tendency",DIAGNOSTIC_ONLY,INDEPENDENT_VALIDATION_REQUIRED
snotel_niwot_co,open,front_range_continental,seasonal_densification_trajectory,density_structure,EB-04V,density_shape_under_beta,accumulation|dry_settling|wet_compaction|ablation,"phase-conditioned KGE(r,beta,gamma) of bulk density",density kg m^-3; ratios dimensionless,openWEPP snow density and persistent-layer evolution,fresh-snow density|destructive metamorphism|local overburden|liquid-water compaction|layer merge/projection|SWE/depth forcing alias,"KGE components and signed residuals by phase, conditioned on load, layer temperature, liquid water, snow age, and process-specific density tendency",DIAGNOSTIC_ONLY,INDEPENDENT_VALIDATION_REQUIRED
snotel_paradise_wa,open,cascades_maritime,seasonal_densification_trajectory,density_structure,EB-04V,density_shape_under_beta,accumulation|dry_settling|wet_compaction|ablation,"phase-conditioned KGE(r,beta,gamma) of bulk density",density kg m^-3; ratios dimensionless,openWEPP snow density and persistent-layer evolution,fresh-snow density|destructive metamorphism|local overburden|liquid-water compaction|layer merge/projection|SWE/depth forcing alias,"KGE components and signed residuals by phase, conditioned on load, layer temperature, liquid water, snow age, and process-specific density tendency",DIAGNOSTIC_ONLY,INDEPENDENT_VALIDATION_REQUIRED
snotel_snowbird_ut,open,wasatch_intermountain,seasonal_densification_trajectory,density_structure,EB-04V,density_shape_under_beta,accumulation|dry_settling|wet_compaction|ablation,"phase-conditioned KGE(r,beta,gamma) of bulk density",density kg m^-3; ratios dimensionless,openWEPP snow density and persistent-layer evolution,fresh-snow density|destructive metamorphism|local overburden|liquid-water compaction|layer merge/projection|SWE/depth forcing alias,"KGE components and signed residuals by phase, conditioned on load, layer temperature, liquid water, snow age, and process-specific density tendency",DIAGNOSTIC_ONLY,INDEPENDENT_VALIDATION_REQUIRED
harvard_hardwood,hardwood,humid_new_england_hardwood,seasonal_depth_swe_slope,harvard_geometry_interception,EB-04X,over_depth_per_swe,accumulation|settling|peak_transition|ablation,depth-SWE slope ratio after rho=rho_w*SWE/depth closure,m depth per m SWE; ratio dimensionless,shared density/geometry first; paired canopy interception residual second,bulk density|layer geometry|snowfall reaching ground|interception storage/unloading/drip|canopy sublimation|canopy energy,"daily algebraic closure in open and hardwood lanes, then matched-date forest-minus-open residual after snowfall and density controls",DIAGNOSTIC_ONLY,INDEPENDENT_VALIDATION_REQUIRED
